idUniteEnseignement;categorie;codeUniteEnseignement;libelle;M;A;S;MEN;nbCredit;semestreUE;CC;TPE;TP;EE;matricule
37;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;AB;5;S5;12;9;0;20;18A1127FS
38;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;P;5;S5;12;9;0;12;20A0678FS
39;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;B;5;S5;13.63;9;0;14,3;19A1648FS
40;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;14,3;2021;1;AB;5;S5;15.23;9;0;12;17A0783FS
41;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;AB;5;S5;13.65;9;0;12;18A0932FS
42;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;AB;5;S5;13.66;9;0;16;18A1131FS
43;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;NV;5;S5;13.67;9;0;12;17A0933FS
44;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;14,3;2021;1;B;5;S5;14,3;9;0;12;18A1128FS
45;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2020;1;AB;5;S5;12;9;0;13.63;18A1130FS
46;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;P;5;S5;12;9;0;15.23;16A0189FS
47;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;16;2021;1;B;5;S5;16;9;0;13.65;18A1151FS
48;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;AB;5;S5;12;9;0;13.66;17A0743FS
49;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;AB;5;S5;12;9;0;13.67;17A0799FS
50;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;20;2021;1;AB;5;S5;20;9;0;15.23;17A0930FS
51;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;NV;5;S5;12;9;0;13.65;17A1129FS
52;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;B;5;S5;14,3;9;0;13.66;16A0742FS
53;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;AB;5;S5;12;9;0;13.67;17A0900FS
