idUniteEnseignement;categorie;codeUniteEnseignement;libelle;M;A;S;MEN;nbCredit;semestreUE;CC;TPE;TP;EE;matricule
29;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;7;0;0;20A0664FS
30;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;7,5;0;0;16A0208FS
31;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;10;7,5;0;0;17A0785FS
32;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;8;0;0;18A1104FS
33;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;7;0;0;17A0788FS
34;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;9,5;0;0;18A1135FS
35;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;7;0;0;16A0200FS
36;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;13;8;0;0;20A0683FS
37;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;10;9;0;0;18A1127FS
38;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;13;5,5;0;0;20A0678FS
39;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;13;8,5;0;0;19A1648FS
40;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;7,5;0;0;17A0783FS
41;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;;0;0;18A0932FS
42;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;8,5;0;0;18A1131FS
43;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;7;0;0;17A0933FS
44;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;8,5;0;0;18A1128FS
45;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;7;0;0;18A1130FS
46;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;10;8;0;0;16A0189FS
47;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;8;0;0;18A1151FS
48;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;7,5;0;0;17A0743FS
49;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;7;0;0;17A0799FS
50;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;;0;0;17A0930FS
51;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;5,5;0;0;17A1129FS
52;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;7,5;0;0;16A0742FS
53;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;8,5;0;0;17A0900FS
