idUniteEnseignement;categorie;codeUniteEnseignement;libelle;M;A;S;MEN;nbCredit;semestreUE;CC;TPE;TP;EE;matricule
25;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;AB;5;S5;12;8;0;15.23;19A1334FS
26;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;AB;5;S5;14,3;8;0;13.65;16A1047FS
27;complementaire;INF335 ;FORMATION BILINGUE;12;2021;2;NV;5;S5;12;8;0;13.66;16A0767FS
28;complementaire;INF335 ;FORMATION BILINGUE;14,3;2021;1;B;5;S5;12;8;0;13.67;18A1154FS
29;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;AB;5;S5;16;8;0;13.7;20A0664FS
30;complementaire;INF335 ;FORMATION BILINGUE;12;2021;2;P;5;S5;12;8;0;12;16A0208FS
31;complementaire;INF335 ;FORMATION BILINGUE;16;2021;1;B;5;S5;12;8;0;14,3;17A0785FS
32;complementaire;INF335 ;FORMATION BILINGUE;12;2021;2;AB;5;S5;20;8;0;12;18A1104FS
33;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;AB;5;S5;12;8;0;12;17A0788FS
34;complementaire;INF335 ;FORMATION BILINGUE;20;2021;1;AB;5;S5;14,3;8;0;16;18A1135FS
35;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;NV;5;S5;12;8;0;12;16A0200FS
36;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;B;5;S5;12;8;0;12;20A0683FS
37;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;AB;5;S5;16;8;0;20;18A1127FS
38;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;P;5;S5;12;8;0;12;20A0678FS
39;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;B;5;S5;12;8;0;14,3;19A1648FS
40;complementaire;INF335 ;FORMATION BILINGUE;14,3;2021;1;AB;5;S5;20;8;0;12;17A0783FS
41;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;AB;5;S5;12;8;0;12;18A0932FS
42;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;AB;5;S5;14,3;8;0;16;18A1131FS
43;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;NV;5;S5;12;8;0;12;17A0933FS
44;complementaire;INF335 ;FORMATION BILINGUE;14,3;2021;1;B;5;S5;12;8;0;12;18A1128FS
45;complementaire;INF335 ;FORMATION BILINGUE;12;2020;1;AB;5;S5;16;8;0;13.63;18A1130FS
46;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;P;5;S5;12;8;0;15.23;16A0189FS
47;complementaire;INF335 ;FORMATION BILINGUE;16;2021;1;B;5;S5;12;8;0;13.65;18A1151FS
48;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;AB;5;S5;20;8;0;13.66;17A0743FS
49;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;AB;5;S5;12;8;0;13.67;17A0799FS
50;complementaire;INF335 ;FORMATION BILINGUE;20;2021;1;AB;5;S5;12;8;0;15.23;17A0930FS
51;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;NV;5;S5;12;8;0;13.65;17A1129FS
52;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;B;5;S5;12;8;0;13.66;16A0742FS
53;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;AB;5;S5;12;8;0;13.67;17A0900FS
