idUniteEnseignement;categorie;codeUniteEnseignement;libelle;M;A;S;MEN;nbCredit;semestreUE;CC;TPE;TP;EE;matricule
29;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;AB;5;S5;12;8;5;12;20A0664FS
30;complementaire;INF365;RECHERCHE OPERATIONNEL;17;2021;2;P;5;S5;17;8;5;17;16A0208FS
31;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;B;5;S5;12;8;5;12;17A0785FS
32;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;2;AB;5;S5;12;8;5;12;18A1104FS
33;complementaire;INF365;RECHERCHE OPERATIONNEL;11,35;2021;1;AB;5;S5;11,35;8;5;11,35;17A0788FS
34;complementaire;INF365;RECHERCHE OPERATIONNEL;14,3;2021;1;AB;5;S5;14,3;8;5;14,3;18A1135FS
35;complementaire;INF365;RECHERCHE OPERATIONNEL;12,5;2021;1;NV;5;S5;20;8;5;20;16A0200FS
36;complementaire;INF365;RECHERCHE OPERATIONNEL;5,23;2021;1;B;5;S5;12;8;5;12;20A0683FS
37;complementaire;INF365;RECHERCHE OPERATIONNEL;15,25;2021;1;AB;5;S5;12;8;5;12;18A1127FS
38;complementaire;INF365;RECHERCHE OPERATIONNEL;8,33;2021;1;P;5;S5;17;8;5;17;20A0678FS
39;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;B;5;S5;12;8;5;12;19A1648FS
40;complementaire;INF365;RECHERCHE OPERATIONNEL;8;2021;1;AB;5;S5;12;8;5;12;17A0783FS
41;complementaire;INF365;RECHERCHE OPERATIONNEL;15;2021;1;AB;5;S5;11,35;8;5;11,35;18A0932FS
42;complementaire;INF365;RECHERCHE OPERATIONNEL;11;2021;1;AB;5;S5;14,3;8;5;14,3;18A1131FS
43;complementaire;INF365;RECHERCHE OPERATIONNEL;11,35;2021;1;NV;5;S5;20;8;5;20;17A0933FS
44;complementaire;INF365;RECHERCHE OPERATIONNEL;14,3;2021;1;B;5;S5;12;8;5;12;18A1128FS
45;complementaire;INF365;RECHERCHE OPERATIONNEL;20;2020;1;AB;5;S5;12;8;5;12;18A1130FS
46;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;P;5;S5;17;8;5;17;16A0189FS
47;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;B;5;S5;12;8;5;12;18A1151FS
48;complementaire;INF365;RECHERCHE OPERATIONNEL;17;2021;1;AB;5;S5;12;8;5;12;17A0743FS
49;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;AB;5;S5;11,35;8;5;11,35;17A0799FS
50;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;AB;5;S5;14,3;8;5;14,3;17A0930FS
51;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;NV;5;S5;20;8;5;20;17A1129FS
52;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;B;5;S5;12;8;5;12;16A0742FS
53;complementaire;INF365;RECHERCHE OPERATIONNEL;11,35;2021;1;AB;5;S5;12;8;5;12;17A0900FS
